TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
253083,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2849X Alemany Blvd,23,Sidewalk: Curb side : Cutout,DPW,10/13/17 10:53,3,3X3,37.71322587,-122.4500992
91623,DPW Maintained,Pyrus calleryana :: Ornamental Pear,1376 South Van Ness Ave,,Sidewalk: Curb side : Cutout,DPW,7/10/14 0:00,3,3x3,37.75115283,-122.4162146
66953,DPW Maintained,Prunus cerasifera :: Cherry Plum,241 Stanyan St,1,Sidewalk: Curb side : Cutout,Private,1/2/92 0:00,3,,37.77659083,-122.4551124
96642,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2111 Steiner St,1,Sidewalk: Curb side : Cutout,Private,7/17/13 0:00,10,,37.78929715,-122.4356849
107340,Permitted Site,Pistacia chinensis :: Chinese Pistache,300X EUGENIA AVE,1,Sidewalk: Curb side : Cutout,Private,10/1/14 0:00,3,3x3,37.74116949,-122.4194319
86152,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1246 24th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/22/07 0:00,3,3x3,37.76429862,-122.4824784
266,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,3201X 19th Ave,5,Sidewalk: Curb side : Cutout,DPW,2/18/99 0:00,6,3X3,37.72894649,-122.4750188
22606,DPW Maintained,Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,930 Gough St,2,Sidewalk: Curb side : Cutout,Private,9/24/14 0:00,3,3X3,37.78179062,-122.4238718
95820,DPW Maintained,Acer buergeranum :: Trident Maple,266 Dore St,2,Sidewalk: Curb side : Cutout,Private,8/29/11 0:00,4,3x3,37.77113392,-122.4095898
54163,DPW Maintained,Olea europaea :: Olive Tree,809 Colby St,1,Sidewalk: Curb side : Cutout,Private,5/22/72 0:00,14,,37.72036905,-122.410361
253104,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,3000x Irving St,4,Sidewalk: Curb side : Cutout,Private,7/25/17 0:00,3,3x3,37.76313979,-122.4901334
